Baustein,Nummer,Siegelstufe,Anforderungen
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A5 Schutz vor schädigenden Umwelteinflüssen bei eingebetteten Systemen [Entwickler, Planer] ",S,"Es SOLLTE sichergestellt werden, dass eingebettete Systeme entsprechend ihrer vorgesehenen Einsatzart und des vorgesehenen Einsatzorts angemessen vor schädigenden Umwelteinflüssen geschützt sind. Die Anforderungen hierfür SOLLTEN bereits bei der Planung analysiert werden. Zudem SOLLTE sichergestellt werden, dass die Vorkehrungen, um einzelne Komponenten vor Staub und Verschmutzung zu schützen, sich mit den Anforderungen des übergeordneten Systems vertragen. "
SYS.4.3 Eingebettete Systeme,SYS.4.3.A6 Verhindern von Debugging-Möglichkeiten bei eingebetteten Systemen [Entwickler] ,S,"Eventuelle Debugging-Möglichkeiten SOLLTEN möglichst vollständig aus eingebetteten Systemen entfernt werden. Wird On-Chip-Debugging genutzt, MUSS sichergestellt werden, dass Debugging-Funktionen nicht unberechtigt genutzt oder aktiviert werden können. "
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A7 Hardware-Realisierung von Funktionen eingebetteter Systeme [Entwickler, Planer, Beschaffer] ",S,"Werden eingebettete Systeme selbst entwickelt, SOLLTEN bei der Designentscheidung zur Hardware- und Software-Realisierung Sicherheitsaspekte berücksichtigt werden. Auch bei der Entscheidung, eine bestimmte Hardware-Technik zu implementieren, SOLLTEN Sicherheitsaspekte berücksichtigt werden."
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A8 Einsatz eines sicheren Betriebssystem für eingebettete Systeme [Entwickler, Planer, Beschaffer] ",S,"Das eingesetzte Betriebssystem und die Konfiguration des eingebetteten Systems SOLLTEN für den vorgesehenen Betrieb geeignet sein. So SOLLTE das Betriebssystem für die vorgesehene Aufgabe über ausreichende Sicherheitsmechanismen verfügen. Die benötigten Dienste und Funktionen SOLLTEN aktiviert sein. Das Betriebssystem SOLLTE es unterstützen, ein Trusted Plattform Module (TPM) zu nutzen."
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A9 Einsatz kryptografischer Prozessoren bzw. Koprozessoren bei eingebetteten Systemen [Entwickler, Planer, Beschaffer] ",S,"Wird ein zusätzlicher Mikrocontroller für die kryptografischen Berechnungen verwendet, SOLLTE dessen Kommunikation mit dem System-Mikrocontroller ausreichend abgesichert sein. Für das eingebettete System SOLLTEN die nötigen Vertrauensanker realisiert werden. Auch SOLLTE eine Vertrauenskette (Chain of Trust) implementiert sein."
SYS.4.3 Eingebettete Systeme,SYS.4.3.A10 Wiederherstellung von eingebetteten Systemen ,S,Eingebettete Systeme SOLLTEN über Rollback-Fähigkeiten verfügen.
SYS.4.3 Eingebettete Systeme,SYS.4.3.A11 Sichere Aussonderung eines eingebetteten Systems [Leiter IT] ,S,"Bevor eingebettete Systeme ausgesondert werden, SOLLTEN sämtliche Daten auf dem System sicher gelöscht werden. Die Löschung oder Vernichtung SOLLTE dokumentiert werden."
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A12 Auswahl einer vertrauenswürdigen Lieferanten- und Logistikkette sowie qualifizierter Hersteller für eingebettete Systeme [Beschaffer, Leiter IT] ",H,"Es SOLLTEN in der Logistikkette wirksame Kontrollen durchgeführt werden, sodass sichergestellt ist, "
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A13 Einsatz eines zertifizierten Betriebssystems [Entwickler, Planer, Beschaffer] ",H,Das Betriebssystem SOLLTE nach einem anerkannten Standard auf einer angemessenen Stufe evaluiert sein.
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A14 Abgesicherter und authentisierter Bootprozess bei eingebetteten Systemen [Entwickler, Planer, Beschaffer] ",H,"Der Bootprozess eines eingebetteten Systems SOLLTE abgesichert sein, indem der Bootloader die Integrität des Betriebssystems überprüft und es nur dann lädt, wenn es als korrekt eingestuft wurde. Umgekehrt SOLLTE auch das Betriebssystem die Integrität des Bootloaders prüfen. "
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A15 Speicherschutz bei eingebetteten Systemen [Entwickler, Planer, Beschaffer] ",H,Bereits beim Entwurf eingebetteter Systeme SOLLTEN Speicherschutzmechanismen berücksichtigt werden. Die Art des Speicherschutzes sowie Anzahl und Größe der Schutzräume SOLLTEN für den Einsatzzweck angemessen sein.
SYS.4.3 Eingebettete Systeme,SYS.4.3.A16 Tamper-Schutz bei eingebetteten Systemen [Planer] ,H,"Für eingebettete Systeme SOLLTE ein Tamper-Schutz-Konzept entwickelt werden. Es SOLLTEN angemessene Mechanismen etabliert werden, die Tamper-Angriffe erkennen, aufzeichnen und verhindern. Schließlich SOLLTEN angemessene Vorgaben etabliert werden, wie auf einen Tamper-Angriff zu reagieren ist."
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A17 Automatische Überwachung der Baugruppenfunktion [Planer, Beschaffer] ",H,"Sämtliche Baugruppen eines eingebetteten Systems mit erhöhten Anforderungen an die Verfügbarkeit und Integrität SOLLTEN integrierte Selbsttesteinrichtungen (Built-in Self-Test, BIST) besitzen. Tests SOLLTEN während des Einschaltvorgangs sowie in angemessenen zeitlichen Intervallen während des Betriebs die Integrität des Systems prüfen. Soweit möglich, SOLLTEN die Selbsttestfunktionen auch Sicherheitsfunktionen bzw. Sicherheitseigenschaften der Baugruppe überprüfen."
SYS.4.3 Eingebettete Systeme,"SYS.4.3.A18 Widerstandsfähigkeit eingebetteter Systeme gegen Seitenkanalangriffe [Entwickler, Beschaffer] ",H,"Um eingebettete Systeme widerstandsfähig gegen Seitenkanalangriffe zu machen, SOLLTEN angemessene Vorkehrungen gegen nicht-invasive und (semi-) invasive Seitenkanalangriffe getroffen werden. "
SYS.3.3 Mobiltelefon,SYS.3.3.A1 Sicherheitsrichtlinien und Regelungen für die Mobiltelefon-Nutzung ,B,"Werden Mobiltelefone für dienstliche Zwecke verwendet, MUSS eine Nutzungs- und Sicherheitsrichtlinie erstellt werden. Jedem Benutzer eines Mobiltelefons MUSS ein Exemplar der Sicherheitsrichtlinie ausgehändigt werden. Es MUSS regelmäßig überprüft werden, ob die Sicherheitsrichtlinie eingehalten wird. Die Sicherheitsleitlinie zur dienstlichen Nutzung von Mobiltelefonen SOLLTE Bestandteil der Schulung zu Sicherheitsmaßnahmen sein. "
SYS.3.3 Mobiltelefon,SYS.3.3.A2 Sperrmaßnahmen bei Verlust eins Mobiltelefons [Benutzer] ,B,"Bei Verlust eines Mobiltelefons MUSS die darin verwendete SIM-Karte zeitnah gesperrt werden. Falls möglich, SOLLTEN vorhandene Mechanismen zum Diebstahlschutz, wie Fernlöschung oder -sperrung, genutzt werden. Alle notwendigen Informationen zur Sperrung von SIM-Karte und Mobiltelefon MÜSSEN unmittelbar griffbereit sein."
SYS.3.3 Mobiltelefon,SYS.3.3.A3 Sensibilisierung und Schulung der Mitarbeiter im Umgang mit Mobiltelefonen ,B,"Mitarbeiter MÜSSEN für die besonderen Gefährdungen der Informationssicherheit durch Mobiltelefone sensibilisiert werden. Sie MÜSSEN in die Sicherheitsfunktion der Mobiltelefone eingewiesen sein. Den Benutzern MUSS der Prozess bekannt sein, durch den die Mobiltelefone gesperrt werden können. Die Benutzer MÜSSEN darauf hingewiesen werden, wie die Mobiltelefone sicher und korrekt aufbewahrt werden sollten. "
SYS.3.3 Mobiltelefon,SYS.3.3.A4 Aussonderung und ordnungsgemäße Entsorgung von Mobiltelefonen und darin verwendeter Speicherkarten ,B,"Mobiltelefone MÜSSEN vor der Entsorgung auf den Werkszustand zurückgesetzt werden. Es MUSS überprüft werden, ob alle Daten gelöscht wurden. Es SOLLTE zudem sichergestellt werden, dass die Mobiltelefone und eventuell darin verwendete Speicherkarten ordnungsgemäß entsorgt werden. Falls die Mobiltelefone und Speicherkarten erst zu einem späteren Zeitpunkt beziehungsweise in größerer Anzahl entsorgt werden, MÜSSEN die gesammelten Mobiltelefone und Speicherkarten vor unberechtigtem Zugriff geschützt werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A5 Nutzung der Sicherheitsmechanismen von Mobiltelefonen [Benutzer] ,S,"Die verfügbaren Sicherheitsmechanismen SOLLTEN auf den Mobiltelefonen genutzt und vorkonfiguriert werden. Die SIM-Karte SOLLTE durch eine sichere PIN geschützt werden. Das Mobiltelefon SOLLTE durch einen Geräte-Code geschützt werden. Falls möglich, SOLLTE das Gerät an die SIM-Karte gebunden werden (SIM-Lock). Die Benutzer SOLLTEN über diese Sicherheitsmechanismen informiert werden. "
SYS.3.3 Mobiltelefon,SYS.3.3.A6 Updates von Mobiltelefonen [Benutzer] ,S,"Es SOLLTE regelmäßig geprüft werden, ob es Softwareupdates für die Mobiltelefone gibt. Der Umgang mit Updates SOLLTE geregelt werden. Wenn es neue Softwareupdates gibt, SOLLTE festgelegt werden, wie die Benutzer darüber informiert werden. Es SOLLTE festgelegt werden, ob die Benutzer die Updates selber installieren dürfen, oder ob die Mobiltelefone an einer zentralen Stelle hierfür abgegeben werden sollen."
SYS.3.3 Mobiltelefon,SYS.3.3.A7 Beschaffung von Mobiltelefonen ,S,"Bevor Mobiltelefone beschafft werden, SOLLTE eine Anforderungsliste erstellt werden. Anhand der Anforderungsliste SOLLTEN die am Markt erhältlichen Produkte bewertet werden. Das Produkt SOLLTE danach ausgewählt werden, ob die Hersteller für den geplanten Einsatzzeitraum Updates anbieten. Es SOLLTE gewährleistet werden, dass Ersatzteile wie Akkus und Ladegeräte in ausreichender Qualität nachbeschafft werden können."
SYS.3.3 Mobiltelefon,SYS.3.3.A8 Nutzung drahtloser Schnittstellen von Mobiltelefonen [Benutzer] ,S,"Drahtlose Schnittstellen von Mobiltelefonen wie IrDA, WLAN oder Bluetooth SOLLTEN deaktiviert werden, solange sie nicht benötigt werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A9 Sicherstellung der Energieversorgung von Mobiltelefonen [Benutzer] ,S,"Es SOLLTEN angemessene Maßnahmen getroffen werden, um die dauerhafte Energieversorgung von Mobiltelefonen sicherzustellen. Dazu SOLLTE je nach Bedarf der Einsatz von Wechselakkus oder Powerbanks geprüft werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A10 Sichere Datenübertragung über Mobiltelefone [Benutzer] ,S,"Es SOLLTE geregelt sein, welche Daten über Mobiltelefone übertragen werden dürfen. Die dafür erlaubten Schnittstellen SOLLTEN festgelegt werden. Außerdem SOLLTE beschlossen werden, wie die Daten bei Bedarf zu verschlüsseln sind. "
SYS.3.3 Mobiltelefon,SYS.3.3.A11 Ausfallvorsorge bei Mobiltelefonen [Benutzer] ,S,"Die auf einem Mobiltelefon gespeicherten Daten SOLLTEN in regelmäßigen Abständen auf einem externen Medium gesichert werden. Muss ein defektes Mobiltelefon repariert werden, SOLLTEN zuvor alle Daten gelöscht und das Gerät auf den Werkszustand zurückgesetzt werden. Es SOLLTEN immer Ersatzgeräte vorhanden sein, um ein ausgefallenes Mobiltelefon kurzfristig ersetzen zu können. "
SYS.3.3 Mobiltelefon,SYS.3.3.A12 Einrichtung eines Mobiltelefon-Pools ,S,"Bei häufig wechselnden Benutzern dienstlicher Mobiltelefone SOLLTE eine Sammelaufbewahrung (Pool) eingerichtet werden. Die Ausgabe und Rücknahme von Mobiltelefonen und Zubehör SOLLTE dokumentiert werden. Vor der Ausgabe SOLLTE sichergestellt werden, dass die Mobiltelefone aufgeladen und mit den nötigen Programmen und Daten für den neuen Besitzer ausgestattet sind. Bei der Ausgabe SOLLTEN die Benutzer informiert werden, wie die Mobiltelefone aufzubewahren sind. Zudem SOLLTEN die Benutzer auf die Einhaltung der Sicherheitsleitlinie hingewiesen werden. Nachdem die Geräte wieder zurückgegeben wurden, SOLLTEN sie auf den Werkszustand zurückgesetzt werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A13 Schutz vor der Erstellung von Bewegungsprofilen bei der Mobilfunk-Nutzung [Benutzer] ,H,"Es SOLLTE geklärt werden, ob sich die Erstellung von Bewegungsprofilen durch Dritte negativ auswirken kann bzw. als Problem angesehen wird. Um eine Ortung über GPS zu verhindern, SOLLTE diese Funktion abgeschaltet werden. Wenn eine Ortung über das Mobilfunknetz verhindert werden soll, SOLLTE das Mobiltelefon abgeschaltet und der Akku entfernt werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A14 Schutz vor Rufnummernermittlung bei der Mobiltelefon-Nutzung [Benutzer] ,H,"Um zu verhindern, dass die verwendeten Rufnummern bestimmten Personen zugeordnet werden können, SOLLTEN Rufnummern für ausgehende Anrufe unterdrückt werden. Außerdem SOLLTEN KEINE SMS- und MMS-Nachrichten versendet werden. Rufnummern von Mobiltelefonen SOLLTEN NICHT veröffentlicht oder an unbefugte Dritte weitergegeben werden."
SYS.3.3 Mobiltelefon,SYS.3.3.A15 Schutz vor Abhören der Raumgespräche über Mobiltelefone ,H,"Damit geschäftskritische Informationen nicht abgehört werden können, SOLLTE dafür gesorgt werden, dass keine Mobiltelefone zu vertraulichen Besprechungen und Gesprächen in die entsprechenden Räume mitgenommen werden. Falls erforderlich, SOLLTE das Mitführungsverbot durch Mobilfunk-Detektoren überprüft werden."
SYS.1.7 IBM Z-System,SYS.1.7.A1 Einsatz restriktiver z/OS-Kennungen ,B,"Berechtigungen mit hoher Autorisierung DÜRFEN NUR an Benutzer vergeben werden, die diese Rechte für ihre Tätigkeiten benötigen. Insbesondere die RACF-Attribute SPECIAL, OPERATIONS, AUDITOR und die entsprechenden GROUP-Attribute sowie die User-ID 0 unter den Unix System Services (USS) MÜSSEN restriktiv gehandhabt werden. Die Vergabe und der Einsatz dieser Berechtigungen MÜSSEN nachvollziehbar sein. Die besondere Kennung IBMUSER DARF NUR bei der Neuinstallation zur Erzeugung von Kennungen mit Attribut SPECIAL benutzt werden. Diese Kennung MUSS danach dauerhaft gesperrt werden. Um zu vermeiden, dass Administratoren sich dauerhaft aussperren, MUSS ein Notfall-User-Verfahren eingerichtet werden."
SYS.1.7 IBM Z-System,SYS.1.7.A2 Absicherung sicherheitskritischer z/OS-Dienstprogramme ,B,"Sicherheitskritische Programme und Kommandos sowie deren Alias-Namen MÜSSEN mit Rechten auf entsprechende RACF-Profile so geschützt werden, dass sie nur von den dafür vorgesehenen und autorisierten Mitarbeitern benutzt werden können. Es MUSS sichergestellt sein, dass (Fremd-) Programme nicht unerlaubt installiert werden können. Außerdem DÜRFEN Programme NUR von gesicherten Quellen und über nachvollziehbare Methoden (z. B. SMP/E) installiert werden."
SYS.1.7 IBM Z-System,SYS.1.7.A3 Wartung von Z-Systemen ,B,"Die Z-Hardware und -Firmware, das Betriebssystem sowie die verschiedenen Programme MÜSSEN regelmäßig und bei Bedarf gepflegt werden. Die hierfür notwendigen Wartungsaktivitäten MÜSSEN geplant und in das Änderungsmanagement (siehe OPS.1.1.3 Patch- und Änderungsmanagement) integriert werden. Insbesondere DÜRFEN Updates durch den Hersteller NUR unter Kontrolle des Betreibers durchgeführt werden, lokal über SE (Support Elements) bzw. HMC (Hardware Management Console) oder remote über die RSF (Remote Support Facility)."
SYS.1.7 IBM Z-System,SYS.1.7.A4 Schulung des z/OS-Bedienungspersonals ,B,"Administratoren, Bediener und Prüfer im z/OS-Bereich MÜSSEN entsprechend ihren Aufgaben ausgebildet sein. Insbesondere MÜSSEN RACF-Administratoren mit dem Sicherheitssystem selbst sowie ggf. mit den weiteren für sie relevanten Funktionen vertraut sein."
SYS.1.7 IBM Z-System,SYS.1.7.A5 Einsatz und Sicherung systemnaher z/OS-Terminals ,B,"Systemnahe z/OS-Terminals MÜSSEN physisch gegen unbefugten Zutritt und logisch gegen unbefugten Zugang geschützt werden. Insbesondere die Support-Elemente sowie die HMC-, MCS-, SMCS-, Extended MCS- und Monitor-Konsolen MÜSSEN dabei berücksichtigt werden. Voreingestellte Passwörter MÜSSEN geändert werden. Zugänge über Webserver und andere Fernzugänge MÜSSEN deaktiviert werden, wenn sie nicht benötigt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A6 Einsatz und Sicherung der Remote Support Facility [Leiter IT] ,B,"Der Leiter IT MUSS entscheiden, ob und ggf. wie RSF eingesetzt wird. Der Einsatz MUSS im Wartungsvertrag vorgesehen und mit dem Hardware-Support abgestimmt sein. Es MUSS sichergestellt werden, dass die RSF-Konfiguration nur von hierzu autorisierten Personen geändert werden kann. Wartungszugriffe für Firmware-Modifikationen durch den Hersteller MÜSSEN vom Betreiber explizit freigegeben und nach Beendigung wieder deaktiviert werden. Die RSF-Kommunikation MUSS über gesicherte Verbindungen (TLS) stattfinden."
SYS.1.7 IBM Z-System,SYS.1.7.A7 Restriktive Autorisierung unter z/OS ,B,"Im Rahmen der Grundkonfiguration MÜSSEN die Autorisierungsmechanismen so konfiguriert werden, dass alle Personen (definierte User-IDs in Gruppen gemäß Rolle) nur die Zugriffsmöglichkeiten erhalten, die sie für ihre jeweiligen Tätigkeiten benötigen. Hierfür MÜSSEN insbesondere APF-Autorisierungen (Authorized Program Facility), SVCs (SuperVisor Calls), Ressourcen des z/OS-Betriebssystems, IPL-Parameter, Parmlib-Definitionen, Started Tasks und JES2/3-Definitionen berücksichtigt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A8 Einsatz des z/OS-Sicherheitssystems RACF ,B,"Der Einsatz von RACF für z/OS MUSS geplant werden. Dazu gehören auch die Auswahl des Zeichensatzes, die Festlegung von Regeln für User-ID und Passwort sowie die Aktivierung der KDFAES-Verschlüsselung. Voreingestellte Passwörter (etwa für das RVARY-Kommando, aber auch für neu angelegte User-IDs) MÜSSEN geändert werden. Falls RACF-Exits eingesetzt werden sollen, MÜSSEN diese begründet, dokumentiert und regelmäßig überwacht werden."
SYS.1.7 IBM Z-System,SYS.1.7.A9 Mandantenfähigkeit unter z/OS ,B,"Falls ein z/OS-System von Mandanten genutzt werden soll, MUSS ein RACF-Konzept zur Mandantentrennung erstellt werden. Die Daten und Anwendungen der Mandanten MÜSSEN durch RACF-Profile getrennt werden. Hohe Berechtigungen im RACF (SPECIAL, OPERATIONS, AUDITOR) und ändernden Zugriff auf Dateien des z/OS-Betriebssystems DÜRFEN NUR Mitarbeiter des Betreibers haben. Die Wartungsfenster, in denen das z/OS-System nicht zur Verfügung steht, MÜSSEN mit allen Mandanten, die auf dem betroffenen System arbeiten, abgestimmt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A10 Absichern des Login-Vorgangs unter z/OS ,B,"Es MUSS sichergestellt sein, dass sich auf z/OS-Systeme nur dazu berechtigte Personen einloggen oder anderweitig Zugang verschaffen können. Die berechtigten Personen MÜSSEN vorher definiert sein. Nicht benötigte Dienste und Ports MÜSSEN deaktiviert oder gesperrt werden. Beim Zugang aus öffentlichen Netzen zu z/OS-Systemen MUSS außerdem verhindert werden, dass alle Kennungen durch Falscheingabe von Passwörtern gesperrt werden (Notfall-User-Verfahren)."
SYS.1.7 IBM Z-System,SYS.1.7.A11 Schutz der Session-Daten ,B,Session-Daten für die Verbindungen der RACF-Administratoren und möglichst auch der anderen Mitarbeiter MÜSSEN verschlüsselt übertragen werden.
SYS.1.7 IBM Z-System,SYS.1.7.A12 Planung von Z-Systemen ,S,"Der Einsatz von Z-Systemen SOLLTE umfassend geplant werden. Es SOLLTE festgelegt werden, wie die Z-Systeme im Rechenzentrum aufgestellt, die Hardware dimensioniert sowie welche Betriebssysteme eingesetzt und welche Anforderungen an die Anwendungen gestellt werden. Auch die Einbindung in die Prozesse der Institution, die Einhaltung der Sicherheitsvorgaben sowie der Einsatz von qualifiziertem Personal SOLLTEN bei der Planung berücksichtigt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A13 Erstellung von Sicherheitsrichtlinien für z/OS-Systeme ,S,"Vor dem Einsatz von z/OS-Systemen SOLLTEN entsprechende Sicherheitsrichtlinien geplant und festgelegt werden. Dabei SOLLTEN die Einbindung in das Sicherheitsmanagement, die Benutzerverwaltung, das Berechtigungsmanagement sowie das Melde- und Eskalationsverfahren geregelt werden. Aber auch technische Aspekte wie Notfall-Systeme und Notfall-User, RACF-Datenbanken, Überprüfung/Monitoring und Prüflisten für Sicherheitseinstellungen SOLLTEN berücksichtigt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A14 Berichtswesen zum sicheren Betrieb von z/OS ,S,"Zur Überwachung aller sicherheitsrelevanten Tätigkeiten SOLLTE ein Prozess eingerichtet werden. In diesem SOLLTE festgelegt sein, welche Sicherheitsreports regelmäßig erstellt werden, welche Tools und Datenquellen dabei herangezogen werden (z. B. System Management Facility) und wie mit Abweichungen von den Vorgaben umgegangen wird. Die Sicherheitsreports SOLLTEN bei Überprüfungen als Information verwendet werden."
SYS.1.7 IBM Z-System,SYS.1.7.A15 Überprüfungen zum sicheren Betrieb von z/OS [IS-Revisionsteam] ,S,"Es SOLLTE regelmäßig überprüft werden, ob die geforderten Sicherheitseinstellungen und Abläufe eingehalten werden (Pre-Audit). Die Prüfer SOLLTEN unabhängig sein sowie die notwendigen Kenntnisse und Zugriffsrechte besitzen. Gegenstand der Prüfungen SOLLTEN mindestens die sicherheitskritischen Einstellungen, Ereignisse und Aktionen sein. Außerdem SOLLTEN Hinweise auf potenzielle Sicherheitsverstöße untersucht werden."
SYS.1.7 IBM Z-System,SYS.1.7.A16 Überwachung von z/OS-Systemen ,S,"Während des Betriebs SOLLTE das z/OS-System auf wichtige Meldungen, Ereignisse und die Einhaltung von Grenzwerten überwacht werden. Insbesondere Fehlermeldungen auf der HMC-Konsole, WTOR- und wichtige WTO-Nachrichten (Write To Operator/with Reply), System Tasks, Sicherheitsverletzungen, Kapazitätsgrenzen sowie die Systemauslastung SOLLTEN berücksichtigt werden. Für die Überwachung SOLLTEN außerdem mindestens die MCS-Konsole, die System Management Facility, das SYSLOG und die relevanten Protokolldaten der Anwendungen herangezogen werden. Es SOLLTE gewährleistet sein, dass alle wichtigen Meldungen zeitnah erkannt werden und, falls notwendig, in geeigneter Weise darauf reagiert wird. Systemnachrichten SOLLTEN dabei so gefiltert werden, dass nur die wichtigen Nachrichten dargestellt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A17 Synchronisierung von z/OS-Passwörtern und RACF-Kommandos ,S,"Falls z/OS-Passwörter oder RACF-Kommandos über mehrere z/OS-Systeme automatisch synchronisiert werden sollen, SOLLTEN die jeweiligen Systeme möglichst weitgehend standardisiert sein. Die Sperrung von Benutzerkennungen durch Fehleingaben von Passwörtern SOLLTE NICHT synchronisiert werden. Das Risiko durch Synchronisation sicherheitskritischer RACF-Kommandos SOLLTE berücksichtigt werden. Die Verwaltungsfunktion des Synchronisationsprogramms SOLLTE nur autorisierten Mitarbeitern im Rahmen ihrer Tätigkeit zur Verfügung stehen."
SYS.1.7 IBM Z-System,SYS.1.7.A18 Rollenkonzept für z/OS-Systeme ,S,"Mindestens für die Systemverwaltung von z/OS-Systemen SOLLTE ein Rollenkonzept eingeführt werden. Für alle wichtigen Rollen der Systemverwaltung SOLLTEN außerdem Stellvertreter-Regelungen vorhanden sein. Die RACF-Attribute SPECIAL, OPERATIONS und AUDITOR SOLLTEN verschiedenen Personen zugeordnet werden (Rollentrennung)."
SYS.1.7 IBM Z-System,SYS.1.7.A19 Absicherung von z/OS-Transaktionsmonitoren ,S,"Falls Transaktionsmonitore oder Datenbanken unter z/OS eingesetzt werden, wie beispielsweise IMS, CICS oder DB2, SOLLTEN diese mittels RACF abgesichert werden. Dies gilt auch für die zugehörigen MVS-Kommandos und -Dateien. Interne Sicherheitsmechanismen der Transaktionsmonitore und Datenbanken SOLLTEN hingegen nur dort angewandt werden, wo es keine entsprechenden RACF-Funktionen gibt. Benutzer und Administratoren SOLLTEN nur die Zugriffsrechte erhalten, die sie für ihre jeweilige Tätigkeit benötigen."
SYS.1.7 IBM Z-System,SYS.1.7.A20 Stilllegung von z/OS-Systemen ,S,"Bei der Stilllegung von z/OS-Systemen SOLLTEN Festplatten, die vertrauliche Daten enthalten, so gelöscht werden, dass ihr Inhalt nicht mehr reproduziert werden kann. Andere z/OS-Systeme, Verbünde und Verwaltungssysteme SOLLTEN so angepasst werden, dass sie nicht mehr auf das stillgelegte System verweisen. Auch die Auswirkungen auf die Software-Lizenzen SOLLTEN berücksichtigt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A21 Absicherung des Startvorgangs von z/OS-Systemen ,S,"Die für den Startvorgang eines z/OS-Systems notwendigen Parameter SOLLTEN dokumentiert und dem Operating-Personal bekannt sein. Außerdem SOLLTEN die erforderlichen Hardware-Konfigurationen vorliegen, wie die IOCDS-Datei (Input/Output Configuration Data Set) und die LPARs (Logical Partitions). Eine MVS-Master-Konsole und eine Backup-Konsole SOLLTEN definiert sein, um Nachrichten kontrollieren zu können. Nach dem Startvorgang SOLLTE anhand einer Prüfliste kontrolliert werden, ob der Systemstatus den Soll-Vorgaben entspricht. Darüber hinaus SOLLTE eine Fallback-Konfiguration vorgehalten werden, mit der das System vor der letzten Änderung erfolgreich gestartet worden ist."
SYS.1.7 IBM Z-System,SYS.1.7.A22 Absicherung der Betriebsfunktionen von z/OS ,S,"Alle die Produktion beeinflussenden Wartungsarbeiten sowie dynamische und sonstige Änderungen SOLLTEN nur im Rahmen des Änderungsmanagements durchgeführt werden (siehe OPS.1.1.3 Patch- und Änderungsmanagement). SDSF (System Display and Search Facility) und ähnliche Funktionen sowie die Prioritäten-Steuerung für Jobs SOLLTEN vor unberechtigtem Zugriff geschützt werden. z/OS-System-Kommandos und besonders sicherheitsrelevante Befehle für dynamische Änderungen SOLLTEN über RACF geschützt werden. Bei der dynamischen Definition von Hardware SOLLTE sichergestellt werden, dass eine Ressource im Wirkbetrieb nicht mehreren Einzelsystemen außerhalb eines Parallel Sysplex zugeordnet wird."
SYS.1.7 IBM Z-System,SYS.1.7.A23 Absicherung von z/VM ,S,"Falls z/VM eingesetzt wird, SOLLTE dieses Produkt in das Patch-Management integriert werden. Alle voreingestellten Passwörter SOLLTEN geändert werden. Die Rolle des z/VM-Systemadministrators SOLLTE nur an Personen vergeben werden, die diese Berechtigungen benötigen. Die Sicherheitsadministration von z/VM SOLLTE über RACF für z/VM erfolgen. Die sicherheitskritischen Systemkommandos von z/VM SOLLTEN über RACF geschützt werden. Unter z/VM definierte virtuelle Maschinen SOLLTEN nur die für die jeweiligen Aufgaben notwendigen Ressourcen erhalten und strikt voneinander getrennt sein. Unter z/VM SOLLTEN nur die benötigten Dienste gestartet werden. Wenn Überprüfungen durchgeführt werden, SOLLTEN die Journaling-Funktion von z/VM und die Audit-Funktionen von RACF eingesetzt werden."
SYS.1.7 IBM Z-System,SYS.1.7.A24 Datenträgerverwaltung unter z/OS-Systemen ,S,"Dateien, Programme und Funktionen zur Verwaltung von Datenträgern sowie die Datenträger selbst (Festplatten und Bänder) einschließlich Master-Katalog SOLLTEN mittels RACF-Profilen geschützt werden. Es SOLLTEN Sicherungskopien aller wichtigen Dateien zur Verfügung stehen, die in einer Notfallsituation zurückgespielt werden können. Die Zuordnung von Datenträgern zu den Z-Systemen SOLLTE nachvollziehbar sein. Es SOLLTE gewährleistet werden, dass je nach Volumen und Zeitfenster genügend Bandstationen zur Verfügung stehen. Beim Einsatz des HSM (Hierarchical Storage Manager) SOLLTE festgelegt werden, welche Festplatten gesichert werden sollen und wie die Sicherung erfolgen soll. Bänder, die vom HSM verwaltet werden, SOLLTEN NICHT anderweitig bearbeitet werden."
